date,Revenue,bing_cost,pinterest_cost,google_ads_cost,hulu_cost,facebook_cost
2021-10-07,172936.30,1402.35,3030.00,25299.86,4602.52,16260.59
2021-10-08,236537.36,1568.01,3030.00,24563.76,527.43,16605.18
2021-10-09,223914.77,1784.68,3030.00,34396.04,4561.87,17636.65
2021-10-10,226132.22,1979.13,3030.00,35299.73,5130.86,16587.22
2021-10-11,245568.71,1675.03,3030.00,27563.24,1277.57,16295.28
2021-10-12,197036.72,1759.16,3060.00,26248.30,1918.24,17787.34
2021-10-13,197683.33,1484.45,3060.00,32774.80,513.84,19784.19
2021-10-14,206777.11,1495.07,2921.85,31016.43,491.19,20310.52
2021-10-15,238059.14,1701.95,2454.63,32532.96,578.97,19536.98
2021-10-16,245567.17,2002.97,2447.73,34241.98,568.05,19939.66
2021-10-17,282065.67,2364.47,2472.53,44676.92,6173.22,21270.20
2021-10-18,258665.83,2098.57,2664.01,30835.65,2061.70,22562.91
2021-10-19,247409.73,2170.26,3200.00,25958.62,1272.63,22070.78
2021-10-20,206310.28,2079.50,3500.00,22208.15,493.52,21706.30
2021-10-21,196516.18,2170.65,3500.00,20329.73,491.87,22246.62
2021-10-22,200029.87,2127.83,3500.00,24760.73,502.79,23272.04
2021-10-23,242413.53,2434.62,3500.00,31947.34,431.91,24075.52
2021-10-24,256367.79,2772.15,3500.00,33630.41,635.54,24670.55
2021-10-25,225269.59,2244.48,3500.00,23299.29,348.99,24110.86
2021-10-26,199068.75,2048.51,3500.00,23489.29,542.41,25404.65
2021-10-27,198855.55,2407.26,3500.00,23470.99,633.98,23102.06
2021-10-28,195374.52,2701.65,3500.00,20955.67,504.91,21949.81
2021-10-29,208243.39,2240.00,3489.07,19414.06,457.42,19493.91
2021-10-30,230280.49,2207.22,3500.00,25956.56,444.04,17630.58
2021-10-31,243303.47,2414.98,3500.00,33728.82,715.51,18652.35
2021-11-01,261068.97,2669.07,3200.38,30808.63,15179.74,18877.34
2021-11-02,225304.36,2190.08,3200.02,24661.17,1301.16,15444.48
2021-11-03,192871.17,2091.62,3200.00,20716.03,534.08,15310.05
2021-11-04,215484.25,1861.98,3200.00,19295.42,494.78,15725.21
2021-11-05,213636.85,2152.66,3200.00,21673.92,451.66,16029.76
2021-11-06,257497.56,2568.39,3200.00,27589.14,472.10,16912.61
2021-11-07,326758.58,2993.18,3200.00,29420.46,557.02,15811.87
2021-11-08,248910.61,2636.46,3161.76,22030.18,1243.03,15138.20
2021-11-09,223262.18,2321.06,3000.05,18757.43,488.24,15251.26
2021-11-10,196773.56,2463.47,3000.00,17831.05,1025.20,15021.87
2021-11-11,225472.62,2543.34,3000.00,21012.21,1183.72,15858.81
2021-11-12,216824.49,2391.73,2979.08,25314.50,1029.31,16076.49
2021-11-13,247930.10,3212.70,3000.00,32016.80,997.57,17186.85
2021-11-14,297399.21,3680.40,3000.00,38130.31,1123.73,16123.43
2021-11-15,258081.87,3135.73,3000.00,23184.49,1131.69,15942.65
2021-11-16,207324.18,2789.91,3000.00,19608.84,1080.22,16292.71
2021-11-17,206580.40,1154.15,3000.00,17096.71,1099.94,16485.04
2021-11-18,182098.12,1051.32,3000.00,18940.99,1108.01,16664.67
2021-11-19,185201.84,896.01,3000.00,20859.70,1045.61,17277.75
2021-11-20,214066.61,1051.16,3000.00,28033.24,1068.66,17021.54
2021-11-21,187396.52,1060.70,3000.00,28862.08,1175.75,20732.99
2021-11-22,103028.49,907.91,4365.16,22287.97,694.84,23944.08
2021-11-23,69067.49,1023.40,2902.81,18059.05,0.00,14781.64
2021-11-24,56895.47,1001.10,2900.00,19983.83,0.00,12440.56
